"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","o3","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"61",2020-04-24,62,46.5,17.5,53,16,6.9,42.3,-75,-23,-71,-72,-57,31,2020-04-24,0.707257483600604,0.704460510716001,0.647148420695555,0.759321071222815,24.5591562240852,49.7233261058601,54.5860025550172,62,698
"62",2020-04-25,69,44.2,18.8,34,10,3.7,39.4,-95,-94,-84,-85,-75,30,2020-04-25,0.704721150214435,0.705569211473359,0.646920816852857,0.759574177918183,23.0636867122796,47.4719155118842,46.8538772955755,69,905
"63",2020-04-26,54,49,17.7,25,8,5.1,40.7,-91,-57,-83,-83,-51,22,2020-04-26,0.703620977821318,0.704280591081483,0.642525557454446,0.760232183566853,21.6394077411758,45.2838618406007,41.5328759397575,54,799
"64",2020-04-27,35,51.2,19,25,8,8.7,35.4,-71,-31,-66,-69,-52,26,2020-04-27,0.702281638526175,0.700907677796794,0.644649195776745,0.757323978891891,20.2869387105829,43.1496442320662,70.4970365305437,35,305
"65",2020-04-28,72,71.1,16.3,13,5,5.1,25.6,-75,-36,-70,-71,-54,27,2020-04-28,0.703197453434374,0.700861837934228,0.649226623783388,0.760994512356792,19.0096473636647,41.0689114614244,27.7406628011421,72,1595
"66",2020-04-29,89,72,16.3,21,8,13.8,28.5,-74,-33,-67,-70,-53,28,2020-04-29,0.704185715174967,0.702793822168192,0.636601439516502,0.751024541036748,17.8074667233713,39.0436350414789,71.5882378551507,89,764
"67",2020-04-30,64,54.7,18.7,13,6,3.7,26.9,-71,-21,-67,-69,-53,27,2020-04-30,0.704581320407321,0.703877513069228,0.642376658596072,0.758530744964047,16.6808311009882,37.0757223101387,44.8461747551721,64,877
"68",2020-05-01,42,60.2,18.3,13,6,5.5,28.9,-94,-94,-79,-87,-88,45,2020-05-01,0.706792447937405,0.705670710343422,0.644853877007493,0.764873980710819,15.6290865909925,35.1670497789254,39.8923879668666,42,647
"69",2020-05-02,49,61.5,19.5,21,9,6.4,32.1,-79,-32,-76,-73,-53,25,2020-05-02,0.707765810125576,0.706138119128923,0.650350479717935,0.770769331118597,14.6470912691018,33.3195062501584,53.3902556447809,49,564
"70",2020-05-03,43,61.5,17.1,21,12,5.1,31.7,-90,-66,-80,-81,-46,22,2020-05-03,0.709700007831734,0.706399311660449,0.648840626019949,0.773536534618523,13.7312111235053,31.5349239949167,33.5341468946759,43,788
"71",2020-05-04,40,51.6,17,25,11,11,37,-57,-25,-13,-53,-40,18,2020-05-04,0.711420365986639,0.709100391366884,0.653188718453328,0.777594195973376,12.8774997678419,29.8151738658272,42.8245810760953,40,574
"72",2020-05-05,29,51.2,20,17,11,21.1,33.8,-60,-26,-19,-54,-42,20,2020-05-05,0.715000971232893,0.713900295165236,0.660697126411702,0.783218842665294,12.0816326646326,28.1620333444455,20.6266775634457,29,864
"73",2020-05-06,27,73.2,16.5,21,15,15.6,26.4,-61,-26,-31,-56,-42,21,2020-05-06,0.719074724158123,0.719166334504126,0.657624275559992,0.780479641659923,11.3401516448483,26.5771632583484,24.950953290125,27,665
"74",2020-05-07,39,53,16.5,21,10,11.5,39.4,-59,-27,-13,-54,-41,20,2020-05-07,0.720733675909893,0.719149480574631,0.659069939586436,0.784135860953287,10.6511907034217,25.0619511887216,25.5509347539837,39,938
"75",2020-05-08,35,56,18.7,25,13,19.7,38.6,-60,-20,-24,-57,-41,21,2020-05-08,0.725805707125514,0.725706075198041,0.662742244792796,0.785932911808513,10.0131514228327,23.6172011614011,26.8522420043307,35,801
"76",2020-05-09,31,38.5,20.5,25,10,6.9,43.1,-63,-25,-25,-53,-41,16,2020-05-09,0.72903008258659,0.725281133465959,0.664898398905549,0.789175953257476,9.42061232805281,22.2431412068539,28.2229850247422,31,675
"77",2020-05-10,22,49,20.5,25,10,6,39,-73,-53,-22,-58,-28,13,2020-05-10,0.734513741209854,0.732502212599189,0.666658361699246,0.792996422098297,8.8704121753974,20.9393941293401,17.9544757579327,22,753
"78",2020-05-11,11,59.7,18.6,13,4,6.4,30.5,-56,-28,-34,-57,-37,18,2020-05-11,0.739291343189178,0.737821409034369,0.669756699430393,0.798358443148168,8.36027344498453,19.7049837993791,22.156211481028,11,243
"79",2020-05-12,21,63.2,19.5,13,7,13.3,26.9,-55,-23,-13,-53,-38,19,2020-05-12,0.744332184290383,0.742560095579961,0.676450222209184,0.810528346648983,7.88798604537919,18.5384470708646,16.0113988924086,21,806
"80",2020-05-13,21,87,15.9,25,13,12.8,22.8,-57,-24,-23,-54,-38,19,2020-05-13,0.749570782468051,0.744926113772419,0.67354224042248,0.810498028987121,7.45143496804405,17.438047026926,12.7900768159379,21,1009
"81",2020-05-14,15,84.1,18.5,50,29,11.9,26.9,-56,-24,-21,-54,-38,18,2020-05-14,0.755873952591395,0.753099431974562,0.687233025612434,0.818842588941667,7.04752471217871,16.4018446986561,16.3439558096268,15,564
"82",2020-05-15,12,54,20.5,25,14,14.2,32.1,-56,-19,-22,-55,-38,19,2020-05-15,0.764467201027928,0.76391018292656,0.697859776158619,0.833022334659883,6.67384391112649,15.4276196230708,14.7487857226072,12,500
"83",2020-05-16,15,72,17.5,25,13,8.7,25.6,-61,-23,-38,-54,-36,16,2020-05-16,0.772821613157485,0.773056548169127,0.698688782749976,0.830883595291666,6.32889525915101,14.5128821816532,18.1100021151857,15,509
"84",2020-05-17,12,73,19.8,53,20,7.8,37.8,-67,-45,-1,-54,-20,12,2020-05-17,0.783678149846754,0.783688882149182,0.718688751033145,0.85031866271396,6.01237926887501,13.6550506076569,0,0,0
"85",2020-05-18,1,74.5,20,50,23,10.1,30.9,-36,-19,1,-46,-31,13,2020-05-18,0.791781239569177,0.791404973827851,0.721619363482522,0.851060828476349,5.7233128591081,12.8515317890485,2.01420104372982,1,89
"86",2020-05-19,12,80,19,50,22,13.3,25.6,-41,-18,-21,-49,-33,16,2020-05-19,0.80140333430669,0.800051265507062,0.732822067767336,0.859599740838755,5.46053622115659,12.0997503138885,13.5808339987175,12,543
"87",2020-05-20,8,75.5,18.1,34,13,12.4,28.1,-38,-16,-7,-47,-33,15,2020-05-20,0.813161288538259,0.811214258678657,0.750788059242829,0.878668753125813,5.22132291668961,11.3971136813243,8.68597510165326,8,566
"88",2020-05-21,10,56,20,30,13,11.9,38.2,-35,-16,23,-43,-33,14,2020-05-21,0.826797039443124,0.822125120098042,0.765159613964466,0.894859426462428,5.00301003447231,10.7409975823506,12.6187420624634,10,487
"89",2020-05-22,9,52.7,22,38,16,17.4,43.5,-36,-11,15,-45,-32,14,2020-05-22,0.841745253124694,0.840417785427741,0.779795310972588,0.913636319816145,4.80536061040153,10.128867518202,16.4606983511241,9,336
"90",2020-05-23,11,48.5,23.7,38,13,6.4,41.5,-36,-14,23,-36,-25,8,2020-05-23,0.855987172175043,0.856406503809299,0.79700490549607,0.93292406454793,4.62877973450166,9.55839605877027,10.3361775578924,11,654
"91",2020-05-24,11,62,20.5,30,13,10.6,36.6,-43,-29,24,-43,-8,6,2020-05-24,0.870167572132774,0.870507691281526,0.798283917246043,0.935222600752307,4.47289708150498,9.02744372465939,9.28552214678798,11,728
"92",2020-05-25,14,50.2,19.8,30,10,18.8,40.7,-30,-17,23,-42,-29,11,2020-05-25,0.88392524911164,0.881521636924703,0.810008907793453,0.951551743223183,4.33622050410597,8.53404803180724,15.0410110807475,14,572
"93",2020-05-26,10,44.7,19.7,25,12,6.4,33.3,-31,-14,25,-42,-30,12,2020-05-26,0.901901729343531,0.900858985445417,0.83139444052017,0.980505081003667,4.21688186281427,8.07629040709519,7.60560319853921,10,808
"94",2020-05-27,2,45.8,19.2,25,11,8.7,35.8,-31,-13,27,-41,-30,12,2020-05-27,0.918487233873048,0.919891976733695,0.849357984299077,0.993724494061674,4.11323531338853,7.65223061249426,4.02840208745964,2,226
"95",2020-05-28,30,43,20.4,21,10,10.6,41.5,-31,-14,23,-42,-30,12,2020-05-28,0.937892322409292,0.937121302787685,0.867303225415331,1.01646982309215,4.02557923797789,7.26001200936049,10.8831063478507,30,1694
"96",2020-05-29,8,70,15.5,13,5,10.1,30.1,-34,-11,-9,-47,-31,14,2020-05-29,0.954835392978261,0.952634115101577,0.875140966065351,1.02846528912368,3.95410542620142,6.8979872943709,10.5953920421029,8,464
"97",2020-05-30,10,58.2,17.5,13,8,8.7,33.8,-31,-10,30,-32,-21,6,2020-05-30,0.974794389340171,0.971558384340458,0.891572205721959,1.04798007097241,3.89851699935041,6.56471086216425,5.65347505466392,10,1087
"98",2020-05-31,5,65,17,13,7,7.4,33.3,-36,-23,37,-39,0,4,2020-05-31,0.994162652635586,0.991870590803703,0.90637846308926,1.06876328927633,3.85792546318644,6.25884910053814,9.87994756337569,5,311
"99",2020-06-01,8,50,19.8,13,9,11,39,-14,3,88,-36,-44,11,2020-06-01,1.01216183042308,1.0120419798539,0.926869310420736,1.09265946861093,3.83213917649892,5.9790791987975,7.99392180087113,8,615
"100",2020-06-02,5,50,21.8,13,8,6,40.3,-34,-50,139,-44,-76,18,2020-06-02,1.03196337579651,1.03157919491361,0.949413923953957,1.12184866306109,3.8213568175928,5.72405230499334,4.90058005137136,5,627
"101",2020-06-03,2,53.2,22,13,4,8.7,34.2,-27,-7,21,-34,-28,9,2020-06-03,1.05198490719143,1.05232760463063,0.949726870510608,1.12324480755816,3.82466994509977,5.49252673051707,4.02840208745964,2,177
"102",2020-06-04,5,72,19,13,4,13.8,25.6,-33,-12,-29,-44,-30,13,2020-06-04,1.06996549744611,1.0687346518379,0.976985468500542,1.14548907028773,3.84191685139649,5.28341125242185,5.2434533996755,5,586
