"","Date","Daily","Humidity","Temperature","pm25","pm10","no2","retail","grocery","parks","transit","work","home","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"63",2020-04-26,79,75.5,15.2,30,10,5.1,-90,-61,-86,-78,-48,22,2020-04-26,0.663928365757455,0.663760651218606,0.602255437317896,0.716193199813447,11.6392142685963,28.9927815933503,109.367343831942,79,597
"64",2020-04-27,8,82.7,16.9,34,10,7.8,-70,-31,-70,-68,-55,27,2020-04-27,0.666906721540716,0.66721948755216,0.605627214029261,0.718092390580548,10.7881364831149,27.3048876794686,16.3822569702222,8,280
"65",2020-04-28,28,96.8,15.4,25,10,5.1,-76,-39,-76,-71,-58,28,2020-04-28,0.670034800486185,0.669005597323868,0.611316753614489,0.725320575483768,10.0042588252539,25.6771344276961,14.2234641648039,28,1627
"66",2020-04-29,40,91.4,16,21,12,4.6,-74,-35,-74,-69,-56,29,2020-04-29,0.674480913171203,0.672180001484421,0.620077639982901,0.731216845065253,9.28429837348349,24.1127173290892,22.3223460944689,40,1481
"67",2020-04-30,41,84.6,17,25,13,5.1,-70,-25,-70,-67,-55,28,2020-04-30,0.680315090959241,0.679200655189333,0.619911585239959,0.738921967408302,8.62321158159769,22.6142878339497,20.2788027708295,41,1671
"68",2020-05-01,36,89.8,16.9,21,11,3.2,-91,-91,-57,-80,-87,41,2020-05-01,0.685718944562222,0.68382067653352,0.613849302708881,0.733914215186268,8.01692405268501,21.1838724514089,27.9113087329433,36,1066
"69",2020-05-02,37,91.4,17,25,15,3.7,-75,-36,-54,-63,-51,23,2020-05-02,0.691204196821741,0.689885441804508,0.626199677292033,0.749614365514413,7.46273783291881,19.8228795233383,60.7951092911835,37,503
"70",2020-05-03,17,63.8,19.5,17,8,4.2,-83,-62,-57,-65,-41,20,2020-05-03,0.696623794680044,0.69433011930249,0.632671318563527,0.760823634048042,6.95671116613392,18.5320645378237,16.3755742313649,17,858
"71",2020-05-04,14,57.6,18,21,8,12.8,-57,-25,-29,-52,-43,18,2020-05-04,0.702152842485746,0.701326787762905,0.632341474926133,0.762404237000276,6.49406804993553,17.311637146885,28.6689496978889,14,262
"72",2020-05-05,18,81.7,17.9,25,12,11.9,-60,-27,-32,-53,-44,20,2020-05-05,0.707167218385778,0.705976481760344,0.638822011398163,0.768393502302941,6.07057352309522,16.1612722071891,7.74829560138479,18,1920
"73",2020-05-06,15,72.9,19.2,25,9,5.5,-61,-28,-34,-53,-43,20,2020-05-06,0.714127049294434,0.712481745942194,0.649498228247485,0.778620983370004,5.68255949284143,15.0799989080013,7.67157980335128,15,1616
"74",2020-05-07,18,49.6,19.7,25,10,11.9,-60,-27,-26,-53,-43,21,2020-05-07,0.722728164946456,0.723327671795666,0.655285267081675,0.787432835866918,5.32648236337256,14.0663229287246,6.65625393944465,18,2235
"75",2020-05-08,21,65.6,18.7,34,13,14.2,-60,-27,-23,-53,-43,21,2020-05-08,0.730473290288866,0.729567994357526,0.660848307946432,0.792828801200335,5.0002282114486,13.1183946198413,12.7806937754801,21,1358
"76",2020-05-09,9,73.6,18.5,30,12,7.8,-65,-32,-22,-47,-40,16,2020-05-09,0.73969348457817,0.73973004178047,0.668729740771176,0.802961393985304,4.70289243574419,12.2340308586293,7.54397949019209,9,986
"77",2020-05-10,11,70.7,20.6,34,13,7.4,-72,-53,-40,-53,-28,14,2020-05-10,0.748354822419505,0.746091869038381,0.682499427361034,0.812044013855423,4.43219524018816,11.4106895171463,9.95764896563507,11,913
"78",2020-05-11,6,88,17.5,25,11,11,-57,-29,-49,-57,-40,19,2020-05-11,0.757402941640292,0.755106395124649,0.698511760443341,0.829275519543813,4.18587942371318,10.6455416706045,12.2866927276667,6,312
"79",2020-05-12,11,88,18,13,10,6.4,-57,-27,-31,-53,-40,20,2020-05-12,0.768159476663538,0.76562612394551,0.712948675414872,0.84370060763218,3.96187233569893,9.93550906697267,3.24458726110807,11,2802
"80",2020-05-13,7,74.5,20,34,16,10.1,-58,-28,-36,-52,-39,19,2020-05-13,0.779979051586852,0.776851833744802,0.711871506724297,0.844609371384263,3.75796081357241,9.2773767616096,10.2396354850159,7,565
"81",2020-05-14,13,85.7,20.9,50,33,6.9,-57,-26,-26,-51,-39,18,2020-05-14,0.790939544899924,0.789067749418917,0.720358111101058,0.855045486238017,3.57282354149347,8.66794140945211,8.36132547386789,13,1285
"82",2020-05-15,18,79.5,19.5,25,15,6,-59,-24,-33,-54,-40,20,2020-05-15,0.802751689673618,0.800373262795168,0.728616493868211,0.865379487261303,3.40573376798396,8.10414630365787,7.0673290045885,18,2105
"83",2020-05-16,14,86.6,19,25,12,9.2,-63,-29,-30,-49,-35,16,2020-05-16,0.814829452091138,0.811586089408508,0.744523855141508,0.890370952190205,3.25516533761778,7.5830796096461,14.4997344587318,14,798
"84",2020-05-17,18,77.5,22.2,38,17,6,-67,-49,-22,-49,-20,12,2020-05-17,0.827141344556857,0.821836894528405,0.750920160430702,0.898783132232863,3.11946155493797,7.10197029189565,13.6860419086097,18,1087
"85",2020-05-18,3,79.4,21.4,46,20,11.5,-41,-20,-30,-48,-34,15,2020-05-18,0.841231674714478,0.835328768227927,0.764622391371928,0.922313666482245,2.99738587261089,6.65817863189389,6.14334636383333,3,120
"86",2020-05-19,5,79.8,21.9,57,23,15.1,-43,-21,-26,-48,-35,16,2020-05-19,0.855158935951952,0.852884604796874,0.766955027269063,0.932337256811708,2.88792401789855,6.24915712059036,2.30218625110783,5,1795
"87",2020-05-20,2,82.5,19.9,38,12,4.2,-40,-19,-18,-45,-34,16,2020-05-20,0.869751764904304,0.866559253233652,0.767348442810887,0.940834274013963,2.79062748995798,5.87249556851145,3.23477441936482,2,511
"88",2020-05-21,7,57.5,22.3,34,10,17.4,-38,-18,7,-41,-34,14,2020-05-21,0.882480838680579,0.880785264653835,0.797207329921334,0.972396345194295,2.70495829819401,5.52599022308479,5.47340969634246,7,1057
"89",2020-05-22,16,64.7,22.2,38,12,9.2,-39,-17,18,-41,-34,14,2020-05-22,0.892884411621929,0.89016549913565,0.799048314050723,0.973988810966622,2.63017156026283,5.20758627466884,10.0484481963248,16,1316
"90",2020-05-23,9,68.6,20.4,34,12,7.8,-40,-20,39,-29,-25,7,2020-05-23,0.907462522974322,0.904703700555582,0.83382053105399,1.01192668142651,2.564981726587,4.91534100258276,4.57745463220271,9,1625
"91",2020-05-24,6,77.8,21.9,30,9,4.6,-45,-34,5,-35,-11,5,2020-05-24,0.921253570557744,0.918799806053437,0.837640803319863,1.01581866637761,2.5076785582816,4.64742540501758,6.0920260256588,6,814
"92",2020-05-25,0,58.6,22.1,21,8,13.8,-32,-17,6,-41,-32,12,2020-05-25,0.934005785156254,0.933134125817696,0.848801414224222,1.03006941333476,2.45810060804293,4.40212318068302,0,0,0
"93",2020-05-26,1,55.7,21.2,17,7,9.2,-33,-17,21,-38,-31,12,2020-05-26,0.943370003649898,0.941517486829799,0.848635980914331,1.02465777558262,2.41652645557732,4.17786426233048,0.816684648367303,1,1012
"94",2020-05-27,4,49.8,20,17,6,11.9,-34,-15,9,-38,-31,12,2020-05-27,0.958577611456828,0.956603027667099,0.864725853339673,1.04692659254713,2.38222992301687,3.97323594376017,3.73975051650548,4,884
"95",2020-05-28,1,61.7,19.3,21,10,12.4,-34,-14,10,-39,-31,12,2020-05-28,0.970869872493045,0.96915148711866,0.864474334559571,1.04569644655992,2.3538758473404,3.78694895245388,1.2695620032991,1,651
"96",2020-05-29,1,70.6,16.5,13,5,6.9,-36,-13,-4,-42,-32,14,2020-05-29,0.981459913972452,0.97974251207621,0.898340218395374,1.07227381038419,2.33168075802581,3.61777681490058,0.793171654652314,1,1042
"97",2020-05-30,6,63.8,18.7,25,10,10.6,-36,-16,47,-25,-19,6,2020-05-30,0.993568479673268,0.994129910139548,0.905407321438424,1.08699184886281,2.31602337670154,3.46449773292417,4.51220126013309,6,1099
"98",2020-05-31,3,73,16.5,34,10,10.6,-39,-27,21,-30,-1,4,2020-05-31,1.00712149391022,1.00443488001646,0.904971622693298,1.09285823735781,2.305892096902,3.32595237373915,2.05252863612842,3,1208
"99",2020-06-01,1,55.8,21.2,21,8,11.9,-16,2,69,-32,-43,10,2020-06-01,1.01552719059822,1.01197629663931,0.917113042080678,1.10259076379494,2.30090524832588,3.20111382163335,2.04778212127778,1,312
"100",2020-06-02,3,61.8,21.1,25,10,7.4,-38,-50,139,-37,-74,15,2020-06-02,1.02600822790606,1.0235106268654,0.922784657835781,1.11261591659023,2.30157784996133,3.08905047904434,3.92940505933935,3,631
"101",2020-06-03,2,84.4,20.3,30,11,6.9,-29,-10,9,-31,-28,9,2020-06-03,1.03253743336309,1.02766247425626,0.921381612577647,1.11409140042661,2.30718615803449,2.9888522329596,3.69791885524703,2,447
"102",2020-06-04,0,91.5,20,25,11,11.5,-36,-14,-33,-40,-31,13,2020-06-04,1.03871491814357,1.03621394590143,0.945903711248054,1.12741847520258,2.31707275087283,2.89968522523881,0,0,0
