"","Date","NPI","Daily","Humidity","Temperature","pm25","pm10","no2","o3","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"106",2020-06-07,55.13000107,16,71.3,21.6,25,14,3.7,22,60,2020-06-07,1.01224662285737,1.01131596408478,0.915257392218491,1.07524376118817,9.99562929867992,11.4381055523874,17.3688402608035,17,3476
"107",2020-06-08,55.13000107,19,69.1,22.5,25,15,5.1,25.6,60,2020-06-08,1.01811148168131,1.01956508098893,0.940902195773572,1.10180503029941,9.99904691410383,11.2948367518929,16.3471437748739,16,1351
"108",2020-06-09,55.13000107,11,65.3,21,25,16,3.7,25.2,60,2020-06-09,1.02396457804993,1.02541044815566,0.928194829672179,1.09611427492825,10.0146547639521,11.1664420950711,19.4122332326627,19,2451
"109",2020-06-10,55.13000107,16,67.3,20.1,21,15,4.6,28.5,60,2020-06-10,1.03127028704094,1.02939383992676,0.952671185295938,1.12146465639581,10.0431309815992,11.0516212141893,11.2386613452258,11,2190
"110",2020-06-11,58.97000122,24,81.6,17.4,25,12,11,17.1,60,2020-06-11,1.03861869285757,1.03687342169783,0.952592970506351,1.11763403898302,10.0836217763521,10.949230637609,16.3471437748739,16,2916
"111",2020-06-12,58.97000122,25,60,21.7,25,12,10.1,19.1,60,2020-06-12,1.04622758102056,1.04704680890654,0.950024527532413,1.12648573920809,10.1370507768833,10.8583716907864,24.5207156623108,24,3504
"112",2020-06-13,58.97000122,14,72.3,20.6,34,14,11,18.3,60,2020-06-13,1.05493784675764,1.0547182282496,0.963064111047822,1.13853429881801,10.20498104501,10.7785642129918,25.5424121482404,25,2688
"113",2020-06-14,58.97000122,3,69,21.4,21,17,3.7,23.6,60,2020-06-14,1.05817677645137,1.05551765401616,0.958256390041827,1.13476018086627,10.2883386471172,10.7096357692882,14.3037508030147,14,2457
"114",2020-06-15,62.81999969,9,68.2,21.6,25,16,6.4,21.2,60,2020-06-15,1.06363148165068,1.06087203460954,0.979588441578509,1.14760081362712,10.3882254949688,10.6516637275549,3.06508945778885,3,1560
"115",2020-06-16,62.81999969,10,68.6,22,25,12,5.5,22.4,60,2020-06-16,1.06937888546275,1.06611919337037,0.979307760306017,1.14736422244534,10.5007933472722,10.6048625363984,9.19526837336656,9,2155
"116",2020-06-17,62.81999969,8,71.5,21.6,34,19,8.3,19.5,60,2020-06-17,1.07281441567545,1.07217146735307,0.993858589294162,1.15275667094444,10.6235477256023,10.5694543064886,10.2169648592962,10,2786
