"","Date","NPI","Daily","Humidity","Temperature","pm25","npi","date","mean","median","lower_80","upper_80","infections","test_adjusted_positive","test_adjusted_positive_raw","positive","tests"
"115",2020-06-16,62.81999969,17,70.2,19.4,21,60,2020-06-16,0.815916297465928,0.81538183867384,0.744770428734323,0.882868483543066,9.55009201773598,14.5052562308792,19.1602071505884,11,660
"116",2020-06-17,62.81999969,5,82,16.8,17,60,2020-06-17,0.813500312813844,0.811440178810703,0.73799529782397,0.879508559203855,9.19772956238976,14.0867497167557,24.4292641170002,17,800
"117",2020-06-18,62.81999969,7,77.7,17.3,30,60,2020-06-18,0.811748448910752,0.807105248732058,0.741921442426281,0.887967804255799,8.85223635364832,13.6716773721277,13.5567503423974,5,424
"118",2020-06-19,62.81999969,8,65.2,21.1,25,60,2020-06-19,0.812052341244368,0.807890572945989,0.725869206856024,0.881271423966869,8.51442864685075,13.2597665365119,17.1218872409513,7,470
"119",2020-06-20,62.81999969,10,49.7,22.7,30,60,2020-06-20,0.810335015769682,0.807123994342351,0.734648256075318,0.890321195092864,8.18572729877385,12.8512371817212,16.106653996992,8,571
"120",2020-06-21,62.81999969,5,45,25,30,60,2020-06-21,0.807758774619148,0.806450946228285,0.724700030765179,0.888945410301927,7.86847877411453,12.4466894913805,26.6113988202616,10,432
"121",2020-06-22,62.81999969,3,47,26.1,34,60,2020-06-22,0.805938381338577,0.803476301795144,0.72699978237779,0.895535323910363,7.56245163610566,12.0468164064947,16.4700921065229,5,349
"122",2020-06-23,62.81999969,7,48.2,26.5,42,60,2020-06-23,0.802930939745152,0.803609514512759,0.705745761640758,0.882894418961961,7.26526412418694,11.6522065024734,6.65798704074499,3,518
"123",2020-06-24,62.81999969,5,57,26.5,61,60,2020-06-24,0.800351619570895,0.800389789818674,0.707757130355926,0.887732784791637,6.97639987202084,11.263312071848,11.4633717994973,7,702
"124",2020-06-25,62.81999969,5,61.2,24.4,53,60,2020-06-25,0.798406768929456,0.796444866620025,0.710708102939754,0.888489849892399,6.69573197058015,10.8805504732458,10.0315220683709,5,573
"125",2020-06-26,62.81999969,5,63,24,55,60,2020-06-26,0.796482526770759,0.795125286357565,0.69641056039223,0.882433387249725,6.42313635944788,10.5043954956297,9.18220789964298,5,626
